metric                                                                             full_dsl3_d64      prev_full_dsl2_d64      prev_full_cuda_d64
================================================================================================================================================
gpu__time_duration.sum                                                             1,619,840.000           1,677,536.000           1,260,832.000
sm__throughput.avg.pct_of_peak_sustained_elapsed                                          57.825                  59.477                  62.785
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                          21.951                  22.674                  31.995
sm__cycles_elapsed.avg                                                             2,186,629.182           2,262,766.076           1,701,473.955
sm__cycles_active.avg                                                              2,153,706.591           2,230,469.689           1,675,902.598
launch__grid_size                                                                          8,192                   8,192                   8,192
launch__block_size                                                                           256                     256                     128
launch__registers_per_thread                                                                 128                     128                     128
launch__shared_mem_per_block_static                                                            0                       0                     128
launch__shared_mem_per_block_dynamic                                                      95,232                  95,232                  20,480
launch__shared_mem_per_block_driver                                                        1,024                   1,024                   1,024
launch__waves_per_multiprocessor                                                          15.515                  15.515                  15.515
launch__occupancy_per_block_size                                                         346.000                 346.000                 418.000
launch__occupancy_per_register_count                                                   3,088.000               3,088.000               3,960.000
launch__occupancy_per_shared_mem_size                                                  5,216.000               5,216.000               2,976.000
launch__occupancy_limit_blocks                                                            32.000                  32.000                  32.000
launch__occupancy_limit_registers                                                          2.000                   2.000                   4.000
launch__occupancy_limit_shared_mem                                                         2.000                   2.000                   6.000
launch__occupancy_limit_warps                                                              8.000                   8.000                  16.000
sm__maximum_warps_per_active_cycle_pct                                                    25.000                  25.000                  25.000
sm__warps_active.avg.pct_of_peak_sustained_active                                         15.047                  15.038                  24.498
sm__warps_active.avg.per_cycle_active                                                      9.630                   9.624                  15.679
smsp__warps_active.avg.per_cycle_active                                                    2.406                   2.406                   3.919
smsp__warps_eligible.avg.per_cycle_active                                                  0.854                   0.877                   1.477
smsp__issue_active.avg.per_cycle_active                                                    0.587                   0.604                   0.637
smsp__issue_inst0.avg.pct_of_peak_sustained_active                                        41.272                  39.648                  36.290
sm__pipe_tensor_op_hmma_cycles_active.avg.pct_of_peak_sustained_active                    11.803                  11.397                  15.168
sm__pipe_tensor_op_imma_cycles_active.avg.pct_of_peak_sustained_active                    11.803                  11.397                  15.168
sm__inst_executed_pipe_tensor_op_hmma.avg.pct_of_peak_sustained_active                     0.738                   0.712                   0.948
sm__inst_executed_pipe_tensor_op_imma.avg.pct_of_peak_sustained_active                     0.738                   0.712                   0.948
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                               22.872                  22.619                  21.884
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                               45.801                  47.608                  45.771
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                48.733                  47.056                  62.716
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                2.141                   7.766                   2.833
sm__instruction_throughput.avg.pct_of_peak_sustained_active                               58.709                  60.338                  63.743
smsp__inst_executed.sum                                                          667,592,328.000         710,583,484.000         564,035,584.000
dram__bytes_read.sum                                                             100,896,768.000         100,919,296.000         100,873,472.000
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                         1.267                   1.224                   1.628
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                        0.704                   0.678                   0.890
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                                       17.389                  22.674                  23.810
lts__throughput.avg.pct_of_peak_sustained_elapsed                                         21.812                  19.804                  31.764
l1tex__t_sector_hit_rate.pct                                                              90.748                  90.733                  72.567
lts__t_sector_hit_rate.pct                                                                96.184                  99.587                  95.827
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                     1,146,880.000           1,146,880.000           1,343,488.000
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                    1,097,728.000           1,097,728.000           1,343,488.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum                               3,198.000               2,342.000                   0.000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum                              66,010.000              81,443.000                   0.000
smsp__sass_inst_executed_op_local_ld.sum                                                   0.000                   0.000                   0.000
smsp__sass_inst_executed_op_local_st.sum                                                   0.000                   0.000                   0.000
smsp__sass_inst_executed_op_shared_ld.sum                                            262,144.000             262,144.000                   0.000
smsp__sass_inst_executed_op_shared_st.sum                                             16,384.000              16,384.000                   0.000
smsp__sass_inst_executed_op_global_ld.sum                                          1,097,728.000           1,097,728.000           1,343,488.000
smsp__sass_inst_executed_op_global_st.sum                                                  0.000                   0.000             524,288.000

-- warp stall ratios (per issue-active) --
stalled_selected                                                                           1.000                   1.000                   1.000
stalled_wait                                                                               0.740                   0.645                   1.377
stalled_long_scoreboard                                                                    0.689                   0.672                   0.220
stalled_not_selected                                                                       0.454                   0.454                   1.318
stalled_barrier                                                                            0.420                   0.394                   0.393
stalled_mio_throttle                                                                       0.203                   0.149                   0.549
stalled_math_pipe_throttle                                                                 0.179                   0.176                   0.443
stalled_dispatch_stall                                                                     0.145                   0.166                   0.431
stalled_gmma                                                                               0.097                   0.079                   0.178
stalled_no_instruction                                                                     0.066                   0.061                   0.023
stalled_short_scoreboard                                                                   0.060                   0.145                   0.177
stalled_misc                                                                               0.026                   0.024                   0.000
stalled_branch_resolving                                                                   0.012                   0.012                   0.008
stalled_drain                                                                              0.006                   0.006                   0.026
stalled_imc_miss                                                                           0.002                   0.003                   0.003
stalled_lg_throttle                                                                        0.000                   0.000                   0.000
stalled_membar                                                                             0.000                   0.000                   0.000
stalled_sleeping                                                                           0.000                   0.000                   0.000
stalled_tex_throttle                                                                       0.000                   0.000                   0.000
